Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Arable land (% of land area) [AG.LND.ARBL.ZS]
1990,YR1990,Switzerland,CHE,29.18090822,5.475367857,2.109859216,6.636138614,10.19725383
1990,YR1990,India,IND,21.50484833,5.475367857,27.58488814,34.57814661,54.97765027
1990,YR1990,Australia,AUS,17.42735899,5.475367857,4.19352846,1866.666667,2.207151504
1990,YR1990,United Arab Emirates,ARE,3.44973247,5.475367857,1.058428475,1028.222222,0.492818924
1990,YR1990,United States,USA,33.02230821,0.186883873,27.66270541,16.5046132,20.27260737
1990,YR1990,United Kingdom,GBR,11.48266027,0.508566377,1.257076565,8.289655172,27.3632869
1990,YR1990,Canada,CAN,38.84551156,-2.36306939,27.66270541,1.561814035,4.613974094
2000,YR2000,Switzerland,CHE,30.26497017,3.530723157,1.053889511,6.272376238,10.32392535
2000,YR2000,India,IND,22.733495,3.602348741,21.61106205,42.2129668,54.12704873
2000,YR2000,Australia,AUS,17.15815576,5.475367857,3.110428355,4.402284553,3.05546516
2000,YR2000,United Arab Emirates,ARE,4.356941707,5.475367857,2.262650093,1555.866667,0.844832442
2000,YR2000,United States,USA,33.13017359,2.672362204,1.150555364,16.80269695,19.14096609
2000,YR2000,United Kingdom,GBR,12.21014343,3.666121805,0.819803189,8.609623824,24.2880172
2000,YR2000,Canada,CAN,38.79298183,5.837048268,2.091653007,1.469684848,4.569805222
2013,YR2013,Switzerland,CHE,31.51073153,-0.718670283,0.662533714,4.257425743,10.19709285
2013,YR2013,India,IND,23.64302315,4.842498006,17.14842354,44.77869986,52.61755892
2013,YR2013,Australia,AUS,17.14006743,5.475367857,2.285285002,3.891869919,4.063991253
2013,YR2013,United Arab Emirates,ARE,4.467755562,5.273700632,0.633172495,1730.424242,0.528020276
2013,YR2013,United States,USA,33.8395963,0.664214928,1.321084164,15.40658861,17.00516648
2013,YR2013,United Kingdom,GBR,12.88223866,0.978906837,0.633392109,5.276551724,25.89757368
2013,YR2013,Canada,CAN,38.72565107,1.599375839,1.894231512,1.308070175,4.214223492
2014,YR2014,Switzerland,CHE,31.59822336,-1.462267263,0.708877667,4.217821782,10.10967651
2014,YR2014,India,IND,23.73262388,5.161005896,16.79193451,44.77869986,52.62462204
2014,YR2014,Australia,AUS,17.23244601,5.475367857,2.220360756,3.752642276,4.160251487
2014,YR2014,United Arab Emirates,ARE,4.467755562,5.15363595,0.628716004,1713.393939,0.61954379
2014,YR2014,United States,USA,33.86965942,2.470548579,1.172065105,15.58825016,17.06484451
2014,YR2014,United Kingdom,GBR,12.96160046,3.430994447,0.745014534,5.024137931,25.76571736
2014,YR2014,Canada,CAN,38.72104457,1.165819948,1.586548077,1.280877193,4.241996344
2015,YR2015,Switzerland,CHE,31.68571785,2.664233838,0.626446261,4.222566832,10.08343409
2015,YR2015,India,IND,23.82222461,7.789504141,16.17450811,44.77869986,52.60780508
2015,YR2015,Australia,AUS,17.3248246,5.475367857,2.375282585,1.87398374,4.04705622
2015,YR2015,United Arab Emirates,ARE,4.467755562,-9.204020655,0.723671593,1696.363636,0.620951845
2015,YR2015,United States,USA,33.89972254,2.715194831,1.033933783,15.7699117,17.12451161
2015,YR2015,United Kingdom,GBR,13.04096226,2.131109785,0.631166672,5.627586207,24.84602984
